| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./wo_cancel.exe` | 911.2 ± 158.1 | 746.6 | 1129.3 | 1.00 |
| `./with_cancel.exe 1000` | 1005.2 ± 239.3 | 733.4 | 1235.4 | 1.10 ± 0.32 |
| `./with_cancel.exe 2000` | 1075.1 ± 202.1 | 737.1 | 1231.7 | 1.18 ± 0.30 |
| `./with_cancel.exe 3000` | 1037.1 ± 175.9 | 730.6 | 1181.6 | 1.14 ± 0.28 |
