| Command | Mean [ms] | Min [ms] | Max [ms] | Relative |
|:---|---:|---:|---:|---:|
| `./wo_cancel.exe` | 710.3 ± 110.1 | 609.0 | 847.5 | 1.02 ± 0.32 |
| `./with_cancel.exe 1000` | 873.3 ± 128.5 | 669.9 | 997.1 | 1.26 ± 0.39 |
| `./with_cancel.exe 2000` | 693.9 ± 187.2 | 579.2 | 1022.5 | 1.00 |
| `./with_cancel.exe 3000` | 851.8 ± 144.2 | 627.1 | 1017.2 | 1.23 ± 0.39 |
